iters,tiempo,0,1,2,3,4,5,6,7,8,9,10
260,35817371100,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
265,37330374002,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
270,35308200884,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
275,35770285053,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
280,36285115041,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
285,36447388315,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
290,40219252129,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
295,37866630710,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
300,38626399657,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
5,20523082533,0.965611,0.982053,0.924753,0.891667,0.888778,0.910474,0.978682,0.912995,0.869975,0.876576,0.921788
10,21775061042,0.965578,0.982053,0.921077,0.89375,0.890896,0.929686,0.978682,0.916901,0.869975,0.886975,0.924978
15,19924638695,0.963579,0.98204,0.922942,0.910417,0.892962,0.925395,0.978682,0.916932,0.863743,0.89326,0.926384
20,20225084910,0.965578,0.982053,0.919252,0.90625,0.903414,0.927568,0.984496,0.920885,0.869958,0.899545,0.929177
25,20486642575,0.967611,0.983839,0.917427,0.90625,0.905515,0.925413,0.98062,0.918901,0.876225,0.895361,0.928978
30,21077181985,0.965578,0.983839,0.917414,0.908333,0.903431,0.921157,0.984496,0.916917,0.87416,0.899527,0.928774
35,21713659582,0.967611,0.983839,0.919265,0.910417,0.907651,0.923276,0.98062,0.918901,0.874142,0.893277,0.929181
40,21040513199,0.965578,0.983839,0.922928,0.904167,0.903431,0.929704,0.982558,0.916917,0.880462,0.899545,0.930177
45,22390258135,0.967611,0.983839,0.919252,0.90625,0.907633,0.927568,0.982558,0.918901,0.876261,0.897461,0.929977
50,22632899316,0.965578,0.983839,0.92109,0.90625,0.911817,0.923294,0.982558,0.918901,0.87416,0.901628,0.930177
55,22293185732,0.965578,0.983839,0.922928,0.90625,0.905532,0.921157,0.984496,0.918901,0.87416,0.897444,0.929376
60,22485119617,0.967611,0.983839,0.917414,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.897461,0.928378
65,22802467276,0.967611,0.983839,0.919252,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
70,23274831819,0.965578,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.918901,0.872076,0.895378,0.92858
75,23235449399,0.965578,0.983839,0.917427,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928179
80,23998056744,0.967611,0.983839,0.917414,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
85,25255243595,0.967611,0.983839,0.919252,0.904167,0.907633,0.921157,0.984496,0.918901,0.876261,0.899545,0.929577
