iters,tiempo,0,1,2,3,4,5,6,7,8,9,10
260,42305694152,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
265,37990675205,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
270,38774312138,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
275,37709756443,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
280,40550831981,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
285,42271016420,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
290,40864607436,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
295,42926970510,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
300,44781839333,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
305,43063953810,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
310,41054228243,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
315,44300212040,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
320,43701685045,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
325,43365160407,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
330,41649382695,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
335,42753075356,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
340,44732089652,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
345,47752574379,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
350,47898429845,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
355,46556189412,0.967611,0.983839,0.917414,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928377
