k,clase,precision,recall,f1,tiempo
4,0,0.979568,0.991201,0.985343,4.6063e+10
4,1,0.946938,0.990735,0.968323,4.6063e+10
4,2,0.984977,0.944774,0.964442,4.6063e+10
4,3,0.955414,0.956731,0.956047,4.6063e+10
4,4,0.972421,0.948252,0.960168,4.6063e+10
4,5,0.951114,0.941478,0.946221,4.6063e+10
4,6,0.966845,0.985874,0.976265,4.6063e+10
4,7,0.94449,0.961833,0.953066,4.6063e+10
4,8,0.968931,0.910702,0.938871,4.6063e+10
4,9,0.925986,0.95202,0.938787,4.6063e+10
