cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn_pca,tiempo_total_fold
125,0,0.866667,0.9,0.88,1796712762.2999999523162841796875,17967127623,17975595486
125,1,0.7833333333333333259318465024989564,1,0.85666666666666668739082979300292209,1796712762.2999999523162841796875,17967127623,17975595486
125,2,0.5,0.5,0.5,1796712762.2999999523162841796875,17967127623,17975595486
125,3,0.1833333333333333203807313793731737,0.2999999999999999888977697537484346,0.21666666666666664631257788187213009,1796712762.2999999523162841796875,17967127623,17975595486
125,4,0.65000000000000002220446049250313081,0.69999999999999995559107901499373838,0.65000000000000002220446049250313081,1796712762.2999999523162841796875,17967127623,17975595486
125,5,0.34999999999999997779553950749686919,0.40000000000000002220446049250313081,0.36666666666666664076146275874634739,1796712762.2999999523162841796875,17967127623,17975595486
125,6,0.65000000000000002220446049250313081,0.69999999999999995559107901499373838,0.66666666666666662965923251249478199,1796712762.2999999523162841796875,17967127623,17975595486
125,7,0.58333333333333325931846502498956397,0.69999999999999995559107901499373838,0.59999999999999997779553950749686919,1796712762.2999999523162841796875,17967127623,17975595486
125,8,0.2999999999999999888977697537484346,0.5,0.36666666666666664076146275874634739,1796712762.2999999523162841796875,17967127623,17975595486
125,9,0.54166666666666662965923251249478199,0.75,0.60999999999999998667732370449812151,1796712762.2999999523162841796875,17967127623,17975595486
150,0,0.866667,0.9,0.88,1685801253.099999904632568359375,16858012531,16864132198
150,1,0.70666666666666666518636930049979128,1,0.81047619047619046117603147649788298,1685801253.099999904632568359375,16858012531,16864132198
150,2,0.41666666666666662965923251249478199,0.40000000000000002220446049250313081,0.39666666666666666740681534975010436,1685801253.099999904632568359375,16858012531,16864132198
150,3,0.52500000000000002220446049250313081,0.55000000000000004440892098500626162,0.4900000000000000466293670342565747,1685801253.099999904632568359375,16858012531,16864132198
150,4,0.78333333333333343695414896501461044,0.84999999999999997779553950749686919,0.79333333333333322379132823698455468,1685801253.099999904632568359375,16858012531,16864132198
150,5,0.4500000000000000111022302462515654,0.5,0.46666666666666661855700226624321658,1685801253.099999904632568359375,16858012531,16864132198
150,6,0.65000000000000002220446049250313081,0.65000000000000002220446049250313081,0.63333333333333330372738600999582559,1685801253.099999904632568359375,16858012531,16864132198
150,7,0.58333333333333325931846502498956397,0.59999999999999997779553950749686919,0.5333333333333333259318465024989564,1685801253.099999904632568359375,16858012531,16864132198
150,8,0.59999999999999997779553950749686919,0.69999999999999995559107901499373838,0.63333333333333330372738600999582559,1685801253.099999904632568359375,16858012531,16864132198
150,9,0.48333333333333328152292551749269478,0.59999999999999997779553950749686919,0.51000000000000000888178419700125232,1685801253.099999904632568359375,16858012531,16864132198
200,0,1,0.916667,0.946667,1868262319.099999904632568359375,18682623191,18691103136
200,1,0.79833333333333345027682526051648892,1,0.87428571428571422163855686449096538,1868262319.099999904632568359375,18682623191,18691103136
200,2,0.80000000000000004440892098500626162,0.55000000000000004440892098500626162,0.63333333333333330372738600999582559,1868262319.099999904632568359375,18682623191,18691103136
200,3,0.58333333333333325931846502498956397,0.59999999999999997779553950749686919,0.56000000000000005329070518200751394,1868262319.099999904632568359375,18682623191,18691103136
200,4,0.75,0.80000000000000004440892098500626162,0.73999999999999999111821580299874768,1868262319.099999904632568359375,18682623191,18691103136
200,5,0.80000000000000004440892098500626162,0.69999999999999995559107901499373838,0.73333333333333328152292551749269478,1868262319.099999904632568359375,18682623191,18691103136
200,6,0.68333333333333334813630699500208721,0.75,0.70999999999999996447286321199499071,1868262319.099999904632568359375,18682623191,18691103136
200,7,0.86666666666666680729491645251982845,0.75,0.7566666666666667095952902855060529,1868262319.099999904632568359375,18682623191,18691103136
200,8,0.56666666666666665186369300499791279,0.75,0.62666666666666670515439818700542673,1868262319.099999904632568359375,18682623191,18691103136
200,9,0.65666666666666662077744831549352966,0.7833333333333333259318465024989564,0.69666666666666665630458510349853896,1868262319.099999904632568359375,18682623191,18691103136
300,0,0.955,0.9,0.921032,2051925145.7999999523162841796875,20519251458,20533908496
300,1,0.84999999999999997779553950749686919,1,0.90952380952380951217861593249836005,2051925145.7999999523162841796875,20519251458,20533908496
300,2,0.875,0.65833333333333343695414896501461044,0.72809523809523812865052150300471112,2051925145.7999999523162841796875,20519251458,20533908496
300,3,0.69333333333333335701809119200333953,0.66666666666666674068153497501043603,0.65261904761904765415181373100494966,2051925145.7999999523162841796875,20519251458,20533908496
300,4,0.79166666666666662965923251249478199,0.7166666666666666740681534975010436,0.73619047619047617292409313449752517,2051925145.7999999523162841796875,20519251458,20533908496
300,5,0.80166666666666652751871424698038027,0.69999999999999995559107901499373838,0.7073809523809524435478124360088259,2051925145.7999999523162841796875,20519251458,20533908496
300,6,0.90166666666666672735885867950855754,0.83333333333333325931846502498956397,0.83738095238095233696640207199379802,2051925145.7999999523162841796875,20519251458,20533908496
300,7,0.82499999999999995559107901499373838,0.80000000000000004440892098500626162,0.79619047619047611519249585398938507,2051925145.7999999523162841796875,20519251458,20533908496
300,8,0.67333333333333333925452279800083488,0.7833333333333333259318465024989564,0.71095238095238089126581826349138282,2051925145.7999999523162841796875,20519251458,20533908496
300,9,0.64952380952380950329683173549710773,0.77500000000000002220446049250313081,0.69406926406926394701457638802821748,2051925145.7999999523162841796875,20519251458,20533908496
400,0,0.913333,0.875,0.884149,2024713530.7999999523162841796875,20247135308,20262302975
400,1,0.81166666666666675844510336901294068,0.94999999999999995559107901499373838,0.86769841269841274655760798850678839,2024713530.7999999523162841796875,20247135308,20262302975
